trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.865887748059205, 'e': 0.2369277586821218}",25,3,11.130439261263408,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.8650222931107413, 'e': 0.23457028809379768}",30,0,32.709474736270685,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.8641577031846428, 'e': 0.23223627472975886}",30,8,2.1455426619088556,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.8632939774163194, 'e': 0.22992548518672387}",20,11,-1.787187230990158,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.8624311149420455, 'e': 0.22763768838381276}",30,0,-65.70812498286801,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
149,False,"{'a': 0.8615691148989583, 'e': 0.22537265553943875}",25,2,19.306421086143622,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.8607079764250578, 'e': 0.22313016014842985}",25,12,-2.8349873028565673,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.8598476986592055, 'e': 0.22090997795937822}",20,13,-0.6372983965741512,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.8589882807411235, 'e': 0.21871188695221477}",20,14,11.286834366119015,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.8581297218113938, 'e': 0.21653566731600707}",20,0,-123.9531479078238,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
154,False,"{'a': 0.8572720210114575, 'e': 0.21438110142697797}",25,15,12.067279803789111,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8564151774836135, 'e': 0.21224797382674307}",20,6,17.150536213647364,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.8555591903710185, 'e': 0.21013607120076475}",20,12,0.6331779215730551,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.8547040588176851, 'e': 0.20804518235702046}",35,17,-71.14491957203623,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 2}",1
158,False,"{'a': 0.8538497819684817, 'e': 0.20597509820488347}",20,5,4.022379204029936,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.8529963589691315, 'e': 0.20392561173421345}",20,1,2.4407554131544464,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.8521437889662113, 'e': 0.2018965179946554}",35,23,8.122843993752438,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.8512920711071511, 'e': 0.1998876140751445}",25,11,5.080695634958293,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
162,False,"{'a': 0.850441204540233, 'e': 0.19789869908361468}",20,13,-50.12857395892375,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
163,False,"{'a': 0.8495911884145902, 'e': 0.19592957412690934}",30,18,13.737149289432868,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.8487420218802068, 'e': 0.19398004229089189}",25,8,9.53165797290724,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.8478937040879159, 'e': 0.1920499086207541}",20,15,12.726991383755928,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8470462341893996, 'e': 0.19013898010152053}",30,11,16.883767241987982,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.8461996113371882, 'e': 0.1882470656387468}",35,0,5.9445675231370165,"{0: 31, 1: 1, 2: 2, 3: 1, 4: 0}",0
168,False,"{'a': 0.8453538346846587, 'e': 0.18637397603941}",25,11,17.253659817980463,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8445089033860343, 'e': 0.1845195239929893}",25,8,29.74677869132101,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8436648165963837, 'e': 0.18268352405273466}",20,0,26.82333636988357,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.8428215734716199, 'e': 0.1808657926171221}",35,0,7.458633511137807,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 1}",0
172,False,"{'a': 0.8419791731684999, 'e': 0.17906614791149325}",20,14,11.03536405253777,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.8411376148446232, 'e': 0.17728440996987782}",25,11,24.54466469212662,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8402968976584314, 'e': 0.1755204006169969}",25,6,35.99477000676394,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.8394570207692074, 'e': 0.17377394345044514}",25,17,14.27334842996407,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.838617983337074, 'e': 0.17204486382305054}",30,9,34.29148458895161,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8377797845229938, 'e': 0.17033298882540945}",30,12,-19.106358553853887,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.8369424234887681, 'e': 0.16863814726859552}",30,22,19.268315050356236,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.8361058993970355, 'e': 0.16696016966704072}",25,14,20.273519932718152,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
